,order_date,pages_visited,order_id,customer_id,tshirt_category,tshirt_price,tshirt_quantity
33,2016-12-19,8,HTS-0lkdil-0002,0lkdil,Black T-Shirt F,17.5,1
34,2013-12-20,9,HTS-601106-0001,601106,Hoodie,23.0,16
35,2015-09-30,11,HTS-0jkgoq-0001,0jkgoq,Black T-Shirt M,19.0,3
36,2014-09-02,14,HTS-495349-0001,495349,Hoodie,23.0,1
37,2016-08-02,12,HTS-187179-0001,187179,White T-Shirt F,18.0,1
38,2016-01-31,10,HTS-2y07r3-0002,2y07r3,Tennis Shirt,24.0,2
39,2015-08-02,19,HTS-318409-0001,318409,Black T-Shirt M,19.0,1
40,2015-10-12,13,HTS-732802-0003,732802,White T-Shirt F,18.0,2
41,2016-02-21,17,HTS-750705-0001,750705,White T-Shirt M,20.0,1
42,2014-09-15,6,HTS-964210-0002,964210,Black T-Shirt F,17.5,1
43,2015-12-13,11,HTS-f5soew-0001,f5soew,Hoodie,23.0,2
44,2014-12-09,19,HTS-308735-0001,308735,White T-Shirt M,20.0,2
45,2015-06-23,6,HTS-162811-0002,162811,Black T-Shirt M,19.0,3
46,2017-02-25,11,HTS-240712-0006,240712,Tennis Shirt,24.0,2
47,2016-02-10,11,HTS-0pgrbi-0002,0pgrbi,Hoodie,23.0,3
48,2014-02-01,16,HTS-071858-0001,071858,White T-Shirt M,20.0,3
49,2015-10-18,13,HTS-k2st8f-0001,k2st8f,Black T-Shirt F,17.5,4
50,2014-05-20,13,HTS-637773-0001,637773,Black T-Shirt F,17.5,3
51,2014-11-12,5,HTS-483739-0001,483739,White T-Shirt M,20.0,2
52,2015-08-18,10,HTS-6hmdy8-0001,6hmdy8,Black T-Shirt F,17.5,4
53,2013-08-26,14,HTS-760379-0001,760379,Hoodie,23.0,1
54,2014-11-06,12,HTS-293211-0001,293211,White T-Shirt F,18.0,2
55,2014-07-22,7,HTS-823002-0001,823002,White T-Shirt M,20.0,2
56,2015-01-28,11,HTS-710433-0001,710433,White T-Shirt F,18.0,1
57,2015-12-09,6,HTS-636741-0002,636741,Hoodie,23.0,1
58,2016-05-03,20,HTS-798156-0003,798156,Black T-Shirt M,19.0,1
59,2014-08-16,11,HTS-353872-0001,353872,White T-Shirt M,20.0,1
60,2016-12-06,16,HTS-kuqsq1-0002,kuqsq1,Black T-Shirt F,17.5,1
61,2016-11-11,13,HTS-bv8gw3-0001,bv8gw3,Black T-Shirt M,19.0,1
62,2015-09-22,13,HTS-33e51w-0001,33e51w,White T-Shirt F,18.0,7
63,2015-11-30,12,HTS-834127-0001,834127,White T-Shirt F,18.0,1
64,2016-08-22,15,HTS-3uouz3-0001,3uouz3,White T-Shirt M,20.0,1
65,2015-08-12,16,HTS-grd2ue-0001,grd2ue,Hoodie,23.0,2
66,2014-01-27,13,HTS-495119-0001,495119,Tennis Shirt,24.0,1
67,2016-11-25,6,HTS-vz1jgr-0001,vz1jgr,White T-Shirt F,18.0,2
68,2016-04-13,6,HTS-075826-0003,075826,White T-Shirt M,20.0,1
69,2015-03-12,15,HTS-958838-0001,958838,White T-Shirt M,20.0,2
70,2015-12-25,10,HTS-301810-0003,301810,Hoodie,23.0,3
71,2015-01-31,16,HTS-818286-0001,818286,Hoodie,23.0,1
72,2015-10-17,4,HTS-601868-0005,601868,Black T-Shirt M,19.0,1
73,2015-05-01,17,HTS-917138-0002,917138,White T-Shirt M,20.0,2
74,2016-08-08,6,HTS-lby2fl-0001,lby2fl,White T-Shirt M,20.0,1
75,2015-10-15,13,HTS-vajch6-0001,vajch6,Black T-Shirt F,17.5,1
76,2016-01-30,9,HTS-019747-0001,019747,White T-Shirt F,18.0,1
77,2016-10-21,12,HTS-797630-0004,797630,Black T-Shirt F,17.5,2
78,2016-12-27,11,HTS-moudrf-0003,moudrf,White T-Shirt F,18.0,4
79,2014-10-27,7,HTS-116680-0001,116680,Black T-Shirt F,17.5,1
80,2016-09-20,12,HTS-5j3r5q-0001,5j3r5q,White T-Shirt M,20.0,1
81,2014-09-25,15,HTS-882780-0002,882780,Black T-Shirt M,19.0,1
82,2015-12-02,5,HTS-521731-0003,521731,White T-Shirt M,20.0,2
83,2016-10-16,21,HTS-qgqhv6-0001,qgqhv6,White T-Shirt F,18.0,1
84,2015-07-22,9,HTS-ar83mg-0001,ar83mg,Tennis Shirt,24.0,2
85,2017-01-03,8,HTS-442064-0003,442064,White T-Shirt M,20.0,1
86,2013-12-13,10,HTS-286810-0002,286810,Black T-Shirt F,17.5,1
87,2014-11-10,19,HTS-273332-0001,273332,White T-Shirt M,20.0,1
88,2016-07-14,16,HTS-397705-0001,397705,Black T-Shirt M,19.0,1
89,2015-04-18,11,HTS-916341-0002,916341,Hoodie,23.0,2
90,2014-10-14,12,HTS-481997-0001,481997,Black T-Shirt F,17.5,3
91,2015-12-09,15,HTS-877835-0002,877835,Hoodie,23.0,3
92,2017-01-27,8,HTS-mzfgyu-0004,mzfgyu,Black T-Shirt F,17.5,2
93,2016-08-06,10,HTS-w6nkip-0001,w6nkip,Black T-Shirt M,19.0,1
94,2017-02-08,3,HTS-173007-0003,173007,Tennis Shirt,24.0,3
95,2017-02-13,11,HTS-6ipkrh-0002,6ipkrh,Black T-Shirt F,17.5,3
96,2016-04-05,8,HTS-751922-0001,751922,White T-Shirt M,20.0,1
97,2014-11-26,7,HTS-396526-0001,396526,Hoodie,23.0,1
98,2014-12-21,13,HTS-378351-0001,378351,Black T-Shirt M,19.0,1
99,2015-06-01,13,HTS-426579-0003,426579,Tennis Shirt,24.0,4
100,2015-11-05,12,HTS-pqtpnh-0001,pqtpnh,Black T-Shirt M,19.0,2
101,2015-12-20,12,HTS-919747-0004,919747,White T-Shirt F,18.0,2
102,2016-03-25,10,HTS-9cuan5-0001,9cuan5,White T-Shirt M,20.0,1
103,2015-03-11,11,HTS-842157-0002,842157,Black T-Shirt M,19.0,5
104,2017-02-23,17,HTS-867868-0002,867868,White T-Shirt F,18.0,1
105,2013-09-22,17,HTS-279650-0001,279650,Hoodie,23.0,1
106,2013-12-20,12,HTS-570589-0001,570589,White T-Shirt M,20.0,1
107,2014-12-17,17,HTS-512205-0002,512205,White T-Shirt M,20.0,6
108,2015-12-30,9,HTS-ggj8vc-0001,ggj8vc,White T-Shirt F,18.0,1
109,2017-03-17,11,HTS-671947-0003,671947,Hoodie,23.0,2
110,2017-02-12,19,HTS-771496-0001,771496,Hoodie,23.0,1
111,2016-03-08,13,HTS-007955-0001,007955,Tennis Shirt,24.0,1
112,2016-10-26,10,HTS-738171-0005,738171,Black T-Shirt M,19.0,3
113,2017-02-15,7,HTS-412242-0004,412242,White T-Shirt M,20.0,2
114,2015-10-04,6,HTS-469269-0003,469269,White T-Shirt M,20.0,2
115,2017-01-27,9,HTS-410722-0001,410722,White T-Shirt M,20.0,1
116,2015-03-20,15,HTS-995267-0002,995267,White T-Shirt F,18.0,5
117,2015-12-28,9,HTS-103700-0003,103700,White T-Shirt M,20.0,1
118,2014-12-09,11,HTS-166680-0001,166680,White T-Shirt M,20.0,16
119,2016-11-11,9,HTS-907613-0002,907613,Tennis Shirt,24.0,1
120,2013-09-29,13,HTS-820263-0001,820263,Hoodie,23.0,9
121,2014-09-11,7,HTS-689555-0002,689555,Hoodie,23.0,3
122,2015-09-07,12,HTS-006743-0002,006743,Black T-Shirt F,17.5,1
123,2013-08-19,10,HTS-534052-0001,534052,Black T-Shirt M,19.0,1
124,2017-02-05,15,HTS-u1b11m-0002,u1b11m,White T-Shirt M,20.0,1
125,2016-08-01,7,HTS-697637-0003,697637,White T-Shirt F,18.0,1
126,2015-06-26,12,HTS-411983-0003,411983,White T-Shirt M,20.0,2
127,2016-01-25,8,HTS-611054-0001,611054,Hoodie,23.0,1
128,2016-07-01,4,HTS-865156-0003,865156,White T-Shirt M,20.0,2
129,2016-10-11,13,HTS-290417-0002,290417,White T-Shirt M,20.0,2
130,2017-01-20,8,HTS-261777-0003,261777,Hoodie,23.0,14
131,2017-03-14,10,HTS-030004-0001,030004,Hoodie,23.0,1
132,2017-02-02,11,HTS-766952-0005,766952,White T-Shirt M,20.0,3
133,2015-12-27,18,HTS-b0hok2-0001,b0hok2,Black T-Shirt M,19.0,3
134,2014-08-25,6,HTS-499669-0001,499669,Hoodie,23.0,1
135,2016-09-19,14,HTS-vqcn42-0002,vqcn42,White T-Shirt M,20.0,2
136,2013-11-06,7,HTS-192588-0001,192588,Hoodie,23.0,2
137,2015-08-28,5,HTS-465652-0004,465652,White T-Shirt F,18.0,14
138,2017-02-11,9,HTS-u7qthj-0003,u7qthj,White T-Shirt M,20.0,3
139,2016-06-01,14,HTS-kbyw6j-0001,kbyw6j,White T-Shirt M,20.0,4
140,2013-08-02,17,HTS-148331-0001,148331,Tennis Shirt,24.0,3
141,2014-08-05,10,HTS-702063-0002,702063,White T-Shirt F,18.0,2
142,2016-10-22,18,HTS-441110-0001,441110,White T-Shirt F,18.0,1
143,2016-08-31,6,HTS-tsgo24-0002,tsgo24,Hoodie,23.0,1
144,2014-10-22,7,HTS-945715-0002,945715,White T-Shirt F,18.0,2
145,2015-08-07,10,HTS-a3jj90-0001,a3jj90,White T-Shirt F,18.0,1
146,2015-07-01,7,HTS-424554-0003,424554,White T-Shirt F,18.0,5
147,2014-10-29,18,HTS-919413-0001,919413,White T-Shirt F,18.0,2
148,2015-11-02,17,HTS-7xehc3-0001,7xehc3,Hoodie,23.0,2
149,2016-06-19,13,HTS-9pw0o5-0001,9pw0o5,Hoodie,23.0,2
150,2016-02-03,12,HTS-110892-0002,110892,Hoodie,23.0,25
151,2017-02-09,8,HTS-2osl9i-0002,2osl9i,White T-Shirt F,18.0,2
152,2016-12-17,11,HTS-wst4iq-0002,wst4iq,Tennis Shirt,24.0,4
153,2014-05-20,9,HTS-958225-0002,958225,White T-Shirt F,18.0,2
154,2015-12-01,11,HTS-015745-0003,015745,Hoodie,23.0,3
155,2016-12-29,10,HTS-131918-0006,131918,White T-Shirt F,18.0,3
156,2015-02-12,7,HTS-172798-0002,172798,Black T-Shirt F,17.5,17
157,2015-04-12,10,HTS-078015-0002,078015,White T-Shirt F,18.0,2
158,2016-08-16,6,HTS-462640-0003,462640,Hoodie,23.0,1
159,2016-01-13,8,HTS-414126-0005,414126,Tennis Shirt,24.0,2
160,2016-04-12,10,HTS-915912-0005,915912,Black T-Shirt M,19.0,4
161,2016-08-12,13,HTS-318044-0002,318044,Hoodie,23.0,1
162,2017-02-21,8,HTS-548687-0004,548687,Hoodie,23.0,4
163,2017-03-28,17,HTS-u1jc9a-0001,u1jc9a,White T-Shirt M,20.0,1
164,2013-09-07,19,HTS-319455-0001,319455,White T-Shirt M,20.0,2
165,2016-11-15,8,HTS-sievog-0002,sievog,White T-Shirt M,20.0,2
166,2014-10-17,4,HTS-158219-0004,158219,Black T-Shirt F,17.5,2
167,2016-06-03,7,HTS-zbupdg-0001,zbupdg,White T-Shirt M,20.0,1
168,2014-10-24,7,HTS-599003-0001,599003,Black T-Shirt M,19.0,2
169,2014-09-23,10,HTS-545953-0001,545953,White T-Shirt M,20.0,1
170,2014-10-05,9,HTS-346170-0001,346170,Black T-Shirt F,17.5,2
171,2013-11-22,10,HTS-485440-0001,485440,White T-Shirt M,20.0,3
172,2017-03-01,7,HTS-310310-0004,310310,Black T-Shirt M,19.0,1
173,2015-07-16,10,HTS-059199-0002,059199,Black T-Shirt F,17.5,1
174,2017-03-07,17,HTS-9hab0r-0002,9hab0r,Tennis Shirt,24.0,1
175,2014-12-15,10,HTS-545732-0003,545732,Black T-Shirt F,17.5,1
176,2014-10-02,9,HTS-768228-0001,768228,Black T-Shirt F,17.5,3
177,2017-03-15,20,HTS-852981-0004,852981,Black T-Shirt F,17.5,4
178,2016-12-01,13,HTS-562002-0001,562002,Black T-Shirt F,17.5,1
179,2016-07-11,10,HTS-769301-0002,769301,White T-Shirt M,20.0,1
180,2015-08-13,19,HTS-718227-0001,718227,Black T-Shirt M,19.0,1
181,2013-10-03,8,HTS-293235-0001,293235,Black T-Shirt M,19.0,1
182,2015-12-29,5,HTS-491676-0002,491676,White T-Shirt M,20.0,1
183,2014-07-27,12,HTS-635408-0002,635408,Tennis Shirt,24.0,16
184,2014-09-18,14,HTS-294526-0001,294526,Black T-Shirt F,17.5,2
185,2015-08-31,4,HTS-089402-0003,089402,White T-Shirt M,20.0,2
186,2016-07-14,16,HTS-198056-0001,198056,White T-Shirt M,20.0,1
187,2015-08-25,5,HTS-011861-0002,011861,Black T-Shirt F,17.5,4
188,2016-09-03,11,HTS-074702-0005,074702,White T-Shirt M,20.0,1
189,2014-12-19,14,HTS-159976-0001,159976,Hoodie,23.0,19
190,2014-12-20,11,HTS-249873-0001,249873,White T-Shirt F,18.0,2
191,2015-09-11,20,HTS-398537-0001,398537,White T-Shirt F,18.0,1
192,2016-06-15,11,HTS-1707t4-0002,1707t4,Hoodie,23.0,2
193,2014-01-14,13,HTS-486520-0002,486520,White T-Shirt F,18.0,5
194,2015-07-21,13,HTS-550064-0002,550064,White T-Shirt M,20.0,1
195,2016-01-10,5,HTS-426512-0003,426512,White T-Shirt F,18.0,2
196,2014-12-24,12,HTS-166597-0004,166597,Hoodie,23.0,3
197,2016-10-27,10,HTS-m2kwxv-0002,m2kwxv,Black T-Shirt M,19.0,2
198,2016-01-08,10,HTS-608352-0003,608352,Black T-Shirt F,17.5,2
199,2013-05-15,12,HTS-266260-0001,266260,White T-Shirt M,20.0,1
200,2016-06-25,2,HTS-266260-0009,266260,Hoodie,23.0,1
201,2015-04-30,14,HTS-829093-0002,829093,White T-Shirt M,20.0,4
202,2015-04-12,8,HTS-398359-0002,398359,Tennis Shirt,24.0,3
203,2016-05-10,15,HTS-925489-0002,925489,Hoodie,23.0,2
204,2016-02-05,10,HTS-919932-0003,919932,Hoodie,23.0,1
205,2015-10-03,8,HTS-124562-0004,124562,White T-Shirt F,18.0,2
206,2016-06-30,11,HTS-801694-0003,801694,Black T-Shirt M,19.0,2
207,2014-01-12,9,HTS-173291-0001,173291,White T-Shirt M,20.0,1
208,2015-12-11,17,HTS-res9z8-0001,res9z8,White T-Shirt M,20.0,2
209,2017-01-03,12,HTS-146030-0001,146030,White T-Shirt M,20.0,1
210,2017-01-17,4,HTS-172689-0006,172689,White T-Shirt F,18.0,2
211,2014-03-18,7,HTS-987945-0001,987945,Black T-Shirt F,17.5,12
212,2017-04-06,8,HTS-btom5o-0004,btom5o,Hoodie,23.0,3
213,2013-11-24,12,HTS-445629-0001,445629,Hoodie,23.0,1
214,2017-03-30,16,HTS-378589-0004,378589,White T-Shirt M,20.0,3
215,2013-08-22,11,HTS-528606-0001,528606,Black T-Shirt F,17.5,1
216,2014-10-24,12,HTS-129344-0001,129344,White T-Shirt F,18.0,1
217,2016-08-04,5,HTS-155114-0004,155114,White T-Shirt F,18.0,3
218,2016-11-17,6,HTS-312886-0005,312886,Hoodie,23.0,3
219,2014-08-14,11,HTS-871783-0002,871783,Black T-Shirt M,19.0,1
220,2016-07-13,10,HTS-1v2h8p-0001,1v2h8p,Hoodie,23.0,1
221,2016-12-15,8,HTS-260176-0006,260176,Hoodie,23.0,1
222,2014-12-19,9,HTS-616717-0001,616717,White T-Shirt F,18.0,1
223,2014-11-07,17,HTS-032960-0002,032960,Black T-Shirt M,19.0,4
224,2014-02-18,13,HTS-452492-0002,452492,Hoodie,23.0,5
225,2017-03-12,5,HTS-984757-0003,984757,Hoodie,23.0,2
226,2016-09-25,4,HTS-237703-0004,237703,Hoodie,23.0,3
227,2017-01-20,7,HTS-606234-0001,606234,Hoodie,23.0,1
228,2014-10-04,19,HTS-327970-0001,327970,Black T-Shirt M,19.0,1
229,2015-07-17,14,HTS-517744-0002,517744,Tennis Shirt,24.0,1
230,2016-05-14,16,HTS-941775-0001,941775,Black T-Shirt M,19.0,1
231,2013-11-14,10,HTS-885251-0001,885251,Black T-Shirt M,19.0,1
232,2016-03-02,4,HTS-273158-0004,273158,White T-Shirt M,20.0,1
233,2014-11-18,10,HTS-371882-0001,371882,Tennis Shirt,24.0,1
234,2014-09-07,11,HTS-019607-0002,019607,Hoodie,23.0,12
235,2016-09-17,10,HTS-554203-0005,554203,Hoodie,23.0,1
236,2016-09-17,15,HTS-534111-0001,534111,White T-Shirt M,20.0,1
237,2016-08-24,9,HTS-748366-0003,748366,Hoodie,23.0,4
238,2014-04-01,7,HTS-246805-0002,246805,Hoodie,23.0,1
239,2016-08-31,9,HTS-hzh8yf-0002,hzh8yf,Black T-Shirt M,19.0,4
240,2013-11-21,14,HTS-368240-0001,368240,Black T-Shirt M,19.0,2
241,2014-10-06,10,HTS-296958-0001,296958,White T-Shirt M,20.0,1
242,2015-12-07,13,HTS-885508-0002,885508,Black T-Shirt F,17.5,1
243,2014-12-28,8,HTS-672641-0003,672641,White T-Shirt M,20.0,4
244,2016-06-09,9,HTS-656327-0002,656327,Tennis Shirt,24.0,1
245,2015-12-27,11,HTS-fzpzqy-0001,fzpzqy,Hoodie,23.0,1
246,2015-05-11,10,HTS-179914-0002,179914,Black T-Shirt M,19.0,2
247,2016-08-27,13,HTS-976279-0003,976279,Tennis Shirt,24.0,3
248,2016-12-30,9,HTS-2loire-0003,2loire,Hoodie,23.0,6
249,2015-09-11,15,HTS-wa3q8y-0001,wa3q8y,White T-Shirt M,20.0,1
250,2015-02-07,8,HTS-474660-0001,474660,Hoodie,23.0,1
251,2017-02-10,9,HTS-1f088i-0002,1f088i,White T-Shirt M,20.0,2
252,2015-05-16,5,HTS-919862-0001,919862,Hoodie,23.0,1
253,2015-11-24,14,HTS-361486-0004,361486,Hoodie,23.0,6
254,2015-11-12,16,HTS-789469-0001,789469,Black T-Shirt M,19.0,1
255,2015-06-09,14,HTS-611736-0002,611736,Hoodie,23.0,4
256,2016-03-04,5,HTS-479670-0006,479670,White T-Shirt F,18.0,4
257,2016-03-21,12,HTS-670684-0004,670684,Hoodie,23.0,1
258,2016-02-16,10,HTS-233699-0001,233699,White T-Shirt F,18.0,1
259,2013-08-23,8,HTS-765374-0001,765374,Black T-Shirt M,19.0,17
260,2016-02-03,7,HTS-125018-0003,125018,Hoodie,23.0,1
261,2014-11-18,15,HTS-665949-0001,665949,Hoodie,23.0,1
262,2014-06-15,6,HTS-028315-0002,028315,Tennis Shirt,24.0,26
263,2013-11-12,9,HTS-969379-0001,969379,Hoodie,23.0,2
264,2013-11-02,16,HTS-695667-0001,695667,White T-Shirt M,20.0,2
265,2014-07-30,9,HTS-044566-0001,044566,Hoodie,23.0,1
266,2014-08-18,11,HTS-492469-0001,492469,White T-Shirt M,20.0,2
267,2017-01-06,9,HTS-753492-0003,753492,White T-Shirt F,18.0,1
268,2016-03-17,4,HTS-637104-0003,637104,White T-Shirt F,18.0,1
269,2016-11-06,8,HTS-190781-0005,190781,White T-Shirt F,18.0,1
270,2017-03-04,19,HTS-906983-0002,906983,Hoodie,23.0,1
271,2016-10-10,9,HTS-384772-0003,384772,Hoodie,23.0,3
272,2014-08-13,6,HTS-882589-0002,882589,Tennis Shirt,24.0,2
273,2014-06-07,12,HTS-059385-0002,059385,White T-Shirt M,20.0,3
274,2017-01-04,10,HTS-4qix82-0003,4qix82,Black T-Shirt F,17.5,4
275,2013-11-06,14,HTS-458802-0001,458802,Black T-Shirt F,17.5,1
276,2016-06-10,8,HTS-332132-0004,332132,White T-Shirt M,20.0,4
277,2016-07-18,8,HTS-504073-0004,504073,White T-Shirt M,20.0,3
278,2014-01-19,11,HTS-052860-0001,052860,Black T-Shirt M,19.0,1
279,2016-12-07,5,HTS-byn6mv-0002,byn6mv,Hoodie,23.0,2
280,2015-08-12,10,HTS-566315-0001,566315,Black T-Shirt F,17.5,1
281,2016-01-10,8,HTS-459652-0005,459652,Hoodie,23.0,4
282,2014-07-23,8,HTS-085677-0001,085677,Hoodie,23.0,6
283,2015-09-20,17,HTS-vmboe9-0001,vmboe9,Hoodie,23.0,1
284,2015-09-06,10,HTS-566470-0002,566470,Black T-Shirt F,17.5,17
285,2015-11-01,18,HTS-cobf5d-0001,cobf5d,White T-Shirt F,18.0,1
286,2015-10-20,19,HTS-017071-0001,017071,Tennis Shirt,24.0,1
287,2015-08-01,16,HTS-yqpwhc-0001,yqpwhc,Black T-Shirt M,19.0,3
288,2016-08-01,13,HTS-644113-0005,644113,White T-Shirt F,18.0,2
289,2014-07-05,5,HTS-665696-0001,665696,Tennis Shirt,24.0,1
290,2014-11-16,11,HTS-332848-0001,332848,Black T-Shirt F,17.5,1
291,2016-09-04,11,HTS-xjcd70-0002,xjcd70,Black T-Shirt M,19.0,9
292,2017-01-18,6,HTS-983165-0003,983165,Black T-Shirt F,17.5,2
293,2016-07-27,11,HTS-247365-0003,247365,White T-Shirt F,18.0,1
294,2014-12-01,16,HTS-585921-0001,585921,Black T-Shirt F,17.5,1
295,2016-03-02,15,HTS-691149-0001,691149,Tennis Shirt,24.0,1
296,2015-09-15,13,HTS-598776-0003,598776,Black T-Shirt M,19.0,2
297,2016-08-03,8,HTS-566318-0003,566318,White T-Shirt M,20.0,1
298,2014-08-09,11,HTS-657578-0002,657578,Hoodie,23.0,3
299,2016-05-31,9,HTS-959488-0002,959488,Hoodie,23.0,1
300,2014-12-26,17,HTS-087878-0003,087878,Hoodie,23.0,2
301,2015-10-16,15,HTS-o2b1x4-0001,o2b1x4,White T-Shirt F,18.0,1
302,2015-04-22,13,HTS-160588-0002,160588,White T-Shirt F,18.0,1
303,2016-11-26,9,HTS-4nrxa9-0002,4nrxa9,White T-Shirt M,20.0,1
304,2015-01-07,10,HTS-847108-0003,847108,Hoodie,23.0,3
305,2017-03-03,9,HTS-271088-0004,271088,Hoodie,23.0,4
306,2015-12-27,7,HTS-fdc856-0001,fdc856,Tennis Shirt,24.0,1
307,2015-07-16,7,HTS-839170-0002,839170,Black T-Shirt F,17.5,2
308,2017-01-29,12,HTS-065414-0006,065414,Hoodie,23.0,1
309,2015-11-09,12,HTS-825859-0001,825859,Hoodie,23.0,1
310,2015-07-17,18,HTS-581066-0002,581066,White T-Shirt M,20.0,1
311,2017-04-05,11,HTS-412541-0006,412541,Black T-Shirt M,19.0,22
312,2016-11-17,3,HTS-xreqxp-0003,xreqxp,Hoodie,23.0,2
313,2014-01-27,13,HTS-553303-0002,553303,White T-Shirt M,20.0,2
314,2016-10-04,19,HTS-012726-0003,012726,White T-Shirt M,20.0,21
315,2014-07-25,12,HTS-842191-0002,842191,Black T-Shirt M,19.0,1
316,2013-08-19,15,HTS-194288-0001,194288,Hoodie,23.0,1
317,2014-09-16,9,HTS-839037-0001,839037,White T-Shirt M,20.0,2
318,2014-08-27,11,HTS-359004-0001,359004,White T-Shirt M,20.0,1
319,2016-12-20,14,HTS-10lgps-0001,10lgps,Black T-Shirt F,17.5,2
320,2014-06-05,15,HTS-086618-0003,086618,White T-Shirt M,20.0,1
321,2014-08-22,11,HTS-627880-0001,627880,White T-Shirt F,18.0,3
322,2015-12-07,9,HTS-378981-0003,378981,Hoodie,23.0,5
323,2016-03-05,10,HTS-l3jw2e-0002,l3jw2e,White T-Shirt M,20.0,1
324,2015-12-22,13,HTS-953361-0002,953361,Hoodie,23.0,2
325,2015-10-30,5,HTS-661692-0003,661692,Black T-Shirt M,19.0,5
326,2015-08-24,13,HTS-g3snxu-0001,g3snxu,Tennis Shirt,24.0,1
327,2015-01-11,9,HTS-065097-0002,065097,White T-Shirt M,20.0,3
328,2016-12-19,10,HTS-656448-0001,656448,Black T-Shirt M,19.0,1
329,2013-12-10,17,HTS-234080-0001,234080,White T-Shirt F,18.0,1
330,2015-08-26,7,HTS-327857-0004,327857,White T-Shirt F,18.0,2
331,2016-12-20,10,HTS-00q4am-0006,00q4am,White T-Shirt M,20.0,1
332,2014-09-26,16,HTS-083761-0002,083761,Black T-Shirt F,17.5,1
333,2016-05-01,14,HTS-855597-0003,855597,White T-Shirt M,20.0,1
334,2016-07-18,7,HTS-344964-0005,344964,White T-Shirt M,20.0,1
335,2015-08-24,12,HTS-q4zelp-0001,q4zelp,White T-Shirt F,18.0,1
336,2014-12-04,14,HTS-109608-0001,109608,Hoodie,23.0,1
337,2015-09-11,15,HTS-sgwuna-0001,sgwuna,Hoodie,23.0,1
338,2016-03-23,20,HTS-297527-0002,297527,White T-Shirt M,20.0,1
339,2013-09-24,9,HTS-676104-0001,676104,White T-Shirt F,18.0,1
340,2016-10-08,8,HTS-421098-0005,421098,White T-Shirt M,20.0,2
341,2014-03-14,15,HTS-477414-0001,477414,White T-Shirt F,18.0,1
342,2016-10-27,12,HTS-estvcf-0003,estvcf,Black T-Shirt M,19.0,4
343,2016-04-25,8,HTS-147806-0003,147806,White T-Shirt F,18.0,1
344,2013-12-12,16,HTS-197980-0001,197980,White T-Shirt M,20.0,1
345,2015-07-13,10,HTS-685960-0002,685960,White T-Shirt F,18.0,1
346,2016-02-08,10,HTS-656559-0001,656559,Black T-Shirt F,17.5,1
347,2013-11-13,10,HTS-436635-0001,436635,Hoodie,23.0,1
348,2016-02-11,8,HTS-xb486l-0002,xb486l,Black T-Shirt F,17.5,3
